name,address,lat,lon,naics,owner_last,owner_firs,owner_midd
R & G CORNER STORE,681 N Dukeland St Baltimore MD 21216,39.295338999999998,-76.662898999999996,"445120",JEFFERSON,FRANCES,NULL
"LADY'S TOUCH TRANSPORTATION SVCS, LLC",2523 Ashton St Baltimore MD 21223 USA,39.280203000000000,-76.655664999999999,"488999",BRADLEY,LORI,STELLA
"WALLACE, NANCY M",3447 W Franklin St Baltimore MD 21229,39.292599000000003,-76.674723000000000,"812210",YELLEN,RUTH,JANET
KINGDOM LIFE CHURCH INC,3171 Phelps Ln Baltimore MD 21229,39.287430000000001,-76.670636999999999,"813110",LEE,ESTELLE,NULL
CASH USA,2111 W Pratt St Baltimore MD 21223,39.284835999999999,-76.650304000000006,"522320",THADEN,KELLEY,NULL
ART HANDELER,103 Harmison St Baltimore MD 21223,39.285891999999997,-76.649050000000003,"541990",ODOM,MATTHEW,ROGER
MCDONALDS,2519 W Franklin St Baltimore MD 21223,39.292999999999999,-76.656729999999996,"722513",PARENT,ANTHONY,AARON
RIGHT TURN OF MARYLAND LLC,1849 Frederick Ave Baltimore MD 21223,39.286825999999998,-76.646260999999996,"622210",GELIN,WILLIAM,JAMES
CHEAP STORAGE,229 N Franklintown Rd Baltimore MD 21223,39.291063000000001,-76.660221000000007,"812990",MEADE,KAREN,SAMANTHA
SHOE FASHION BALTIMORE,2421 Frederick Ave Baltimore MD 21223,39.282389999999999,-76.655287000000001,"448120",FARES,ROBERT,NULL
SRE' VIR',3563 St Joseph St Baltimore MD 21229,39.286135000000002,-76.677823000000004,"624310",MOYERS,HOWARD,NULL
"KJBC, INC.",2884 Edmondson Ave Baltimore MD 21223,39.294629999999998,-76.664630000000002,"999990",CHANG,GAIL,DEBRA
MATH DEPARTMENT,3192 Wilkens Ave Baltimore MD 21223,39.275103999999999,-76.668163000000007,"611699",JOHNSON,DAWNA,NULL
MARY SAMPLE DAY CARE,920 N Bentalou St Baltimore MD 21216 USA,39.299106000000002,-76.653729999999996,"624410",CAMPOS,RAMON,NULL
PRICE BUSTERS,2415 W Franklin St Baltimore MD 21223 USA,39.292802000000002,-76.655310000000000,"442110",MALONEY,SAMMIE,NULL
PARAGO GROUP,3545 St Joseph St Baltimore MD 21229,39.286085999999997,-76.677584999999993,"561499",GARRETT,JOHN,TYRELL
JEMELLA LIQUORS & CUT RATE,1825 W Mosher St Baltimore MD 21217 USA,39.299663000000002,-76.647260000000003,"445310",CARROLL,TOM,JEREMIAH
"VARIEGATE GROUP, LLC",2429 W Lanvale St Baltimore MD 21216,39.296742000000002,-76.656195999999994,"541990",HASLER,CHARLES,NULL
MOMENTZ OF PLEASURE,2939 Mosher St Baltimore MD 21216,39.298971999999999,-76.666748999999996,"999990",MCGUIRK,JANE,TINA
GLOBAL TONER INK & SUPPLIES INC.,1044 S Monroe St Baltimore MD 21230,39.275877000000001,-76.644113000000004,"325910",KNAPP,CINDY,MARY
LEARN RITE DRIVING SCHOOL LLC,3728 Old Frederick Rd Baltimore MD 21229 USA,39.283914000000003,-76.678657000000001,"611692",PITTMAN,SAMMY,NULL
STEUART HILL ELEMENTARY SCHOOL,1605 McHenry St Baltimore MD 21223,39.284242999999996,-76.642336999999998,"611110",REED,CRAIG,NULL
EDNA COX TRANQUIL PATHWAY HOUSE,3709 Colborne Rd Baltimore MD 21229 USA,39.297778999999998,-76.679271000000000,"623990",LOUD,SHARON,ANNA
CHURCH OF THE HOLY TRINITY,849 N Bentalou St Baltimore MD 21216 USA,39.298335999999999,-76.653176000000002,"813110",MARTINEZ,LILIA,NULL
JERMAINE,344 Denison St Baltimore MD 21229,39.291094000000001,-76.674740000000000,"561990",HANSON,STEPHEN,JAMAR
STAR CHILD CARE,771 N Grantley St Baltimore MD 21229,39.296824000000001,-76.675618999999998,"624410",SCHLAG,IVAN,NULL
TASTY FOOD MART,509 S Catherine St Baltimore MD 21223,39.280251999999997,-76.653595999999993,"445110",HALDEMAN,KENNETH,THOMAS
TRUSTED INK TATTOO SHOP,480 Wellesley St Baltimore MD 21229,39.279451000000002,-76.668380999999997,"453998",JOHNSON,JAMES,NULL
KINGDOM FIRST MINISTRIES,86 S Kossuth St Baltimore MD 21229,39.285901000000003,-76.676546999999999,"813110",NAVEJAR,ELVIN,DANIEL
QUICK RESPONSE TOWING INC,525 S Caton Ave Baltimore MD 21229,39.278469000000001,-76.671367000000004,"488410",MILES,HELEN,ANNIE
ROZ FLEA MARKET,2712 Edmondson Ave Baltimore MD 21223,39.294741999999999,-76.661841999999993,"561990",SHAW,DONALD,HAROLD
HOPE IS ON YOUR WAY AB INC,555 S Bentalou St Baltimore MD 21223,39.280721999999997,-76.651934999999995,"999990",VAUGHT,WILLIAM,TIMOTHY
EMBRACING THOUGHTS,2015 McHenry St Baltimore MD 21223,39.284022000000000,-76.648623999999998,"541618",BRATTON,KRISTINA,NANCY
HEAVENLY FLOWERS,920 N Bentalou St Baltimore MD 21216 USA,39.299106000000002,-76.653729999999996,"453110",DEERING,JACQUELIN,NULL
LAWRENCE O OSEFOH,3341 W Baltimore St Baltimore MD 21229,39.285532000000003,-76.672625999999994,"541211",DEVLIN,WILLIAM,NULL
NAIL STUDIO,2421 Frederick Ave Baltimore MD 21223,39.282389999999999,-76.655287000000001,"812113",JASPER,SENA,NULL
EQUITY MANAGEMENT II LLC,219 S Mount St Baltimore MD 21223,39.285133999999999,-76.643448000000006,"561110",SPARKS,LUCIENNE,LONNIE
NEW CARMEL STAR BAPTIST CHURCH,1871 W Baltimore St Baltimore MD 21223,39.287975000000003,-76.646535000000000,"813110",MILLER,BRIAN,NULL
"ADVANCED SYSTEMS ENGINEERING TECHNOLOGY SERVICES GROUP, LLC",2548 Calverton Heights Ave Baltimore MD 21216,39.297801999999997,-76.657229000000001,"541511",KHAN,SALLY,BETTYE
R&R DISCOUNTS USED FURNITURE,154 Harmison St Baltimore MD 21223,39.285282000000002,-76.649321999999998,"442110",RODRIGUEZ,MIGUEL,STEPHEN
LOTTERY CONTROL BOARD,1000 S Monroe St Baltimore MD 21230,39.276094000000001,-76.644609000000003,"921130",JULIAN,ROBERT,NULL
THE DANIEL SANCTUARY INC,2959 W Mosher St Baltimore MD 21216,39.298980000000000,-76.666185999999996,"561990",NUTTING,MARTIN,NULL
"MAGNET ENTERTAINMENT, LLC",1235 N Franklintown Rd Baltimore MD 21216,39.299838000000001,-76.670070999999993,"711510",BULLOCK,JASON,STEVEN
